"Label","Definition Name","ItemCode","Quantity","Notes","A[mm]","A1[mm]","B[mm]","C[mm]","D[mm]","E[mm]","F[mm]","G[mm]","G1[mm]","H[mm]","L[mm]","R[mm]","Angle[°]","Tag","Area[m2]","Air Flow[m3/h]","Air Speed[m/s]","Mounting Height[m]","Pressure Loss[Pa]"
"S_00","-RED A_940 B_940 C_600 D_600 E_170 F_170 G_25 G1_25 L_250 Area_0.9625","RED","1","_","940","","940","600","600","170","170","25","25","","250","","","- DuctWork Supply","0.9625","9000","6.944444","0","0"
"S_01","-RSO Angle_45° R_100 A_600 A1_600 B_600 F_400 G_25 G1_25 L_762 Area_2.1796","RSO","1","_","600","600","600","","","","400","25","25","","762","100","45","- DuctWork Supply","2.1796","9000","6.944444","0","0"
"S_02","-RED A_600 B_600 C_600 D_900 E_0 F_-300 G_25 G1_25 L_350 Area_1.0196","RED","1","_","600","","600","600","900","0","-300","25","25","","350","","","- DuctWork Supply","1.0196","9000","6.944444","0","0"
"S_03","-CRD Rectangular Duct","CRD","1","LF","600","","900","","","","","","","","450","","","- DuctWork Supply","1.35","9000","4.62963","0","0"
"S_04","-REL Angle_90° R_100 A_600 A1_600 B_900 G_25 G1_25 Area_2.0231","REL","1","_","600","600","900","","","","","25","25","","","100","90","- DuctWork Supply","2.0231","9000","4.62963","0","0"
"S_05","-CRD Rectangular Duct","CRD","1","LF","600","","900","","","","","","","","1500","","","- DuctWork Supply","4.5","9000","4.62963","0","0"
"S_06","-CAP Rectangular End Cap","CAP","1","_","600","","900","","","","","","","","40","","","- DuctWork Supply","0.66","9000","4.62963","0","0"
